tick,hand_id,phase,grasp_state,vessel_proximity,ring_tension,support_polygon_margin,balance_state,tip_force_scalar,bimanual_cumulative_force,estop_state,collision_state,q_arm_1,q_arm_2,q_arm_3,q_arm_4,q_arm_5,q_arm_6,q_arm_7,finger_force_1,finger_force_2,finger_force_3,finger_force_4,finger_force_5,ee_pos_x,ee_pos_y,ee_pos_z
5,L,1,tripod,6.914,0.0,39.172,stable,2.8099,5.6198,armed,clear,0.00096,0.10266,0.20305,0.30472,0.40895,0.50398,0.60571,0.5449,0.4344,0.5714,0.693,0.5662,15.803,-28.863,-41.079
5,R,1,tripod,9.345,0.0,40.683,stable,2.5616,5.1232,armed,clear,0.00361,0.10349,0.20703,0.30531,0.40225,0.50705,0.6059,0.45,0.5318,0.4291,0.659,0.4917,16.334,-29.265,-41.039
6,L,1,tripod,9.357,0.0,41.819,stable,2.7946,5.5892,armed,clear,7e-05,0.10148,0.20633,0.30017,0.40638,0.50537,0.60034,0.4416,0.6252,0.6345,0.6065,0.4868,16.774,-29.092,-41.344
6,R,1,tripod,9.11,0.0,39.495,stable,2.5972,5.1944,armed,clear,0.00192,0.10664,0.20842,0.3011,0.40744,0.50964,0.60292,0.6138,0.5009,0.5554,0.4985,0.4286,15.992,-28.248,-41.039
7,L,1,tripod,9.269,0.0,38.788,stable,2.6063,5.2126,armed,clear,0.00826,0.10156,0.20231,0.30563,0.4004,0.50398,0.60062,0.4757,0.4147,0.5497,0.6956,0.4706,15.588,-29.949,-42.0
7,R,1,tripod,8.731,0.0,40.041,stable,2.9009,5.8018,armed,clear,0.00314,0.10719,0.20655,0.3093,0.40058,0.50012,0.6035,0.6589,0.6748,0.515,0.5951,0.4571,15.849,-28.063,-41.856
8,L,1,tripod,7.969,0.0,39.939,stable,2.8005,5.601,armed,clear,0.00415,0.10027,0.20678,0.3068,0.40152,0.50853,0.6094,0.407,0.5724,0.505,0.659,0.6571,16.324,-28.095,-40.663
8,R,1,tripod,6.809,0.0,38.134,stable,2.6238,5.2476,armed,clear,0.00956,0.10796,0.20312,0.30705,0.40902,0.50278,0.60582,0.4821,0.6905,0.4268,0.4411,0.5833,15.338,-29.541,-40.51
9,L,1,tripod,8.799,0.0,38.65,stable,2.786,5.572,armed,clear,0.00223,0.1044,0.20735,0.30045,0.40578,0.50379,0.60481,0.6831,0.6095,0.5393,0.5305,0.4236,16.564,-29.882,-41.583
9,R,1,tripod,7.809,0.0,40.992,stable,2.6954,5.3908,armed,clear,0.00459,0.10293,0.20081,0.30666,0.40442,0.50028,0.60782,0.4487,0.5038,0.4402,0.6386,0.6641,16.834,-29.278,-40.562
10,L,1,tripod,8.902,0.0,39.62,stable,2.5311,5.0622,armed,clear,0.00401,0.10947,0.20181,0.30036,0.40342,0.50075,0.60754,0.485,0.5762,0.636,0.427,0.4069,16.953,-29.572,-40.194
10,R,1,tripod,7.735,0.0,42.622,stable,2.6794,5.3588,armed,clear,0.00613,0.10412,0.20856,0.30134,0.40409,0.50246,0.60556,0.5541,0.4489,0.5573,0.6761,0.443,15.443,-28.739,-40.514
11,L,1,tripod,7.069,0.0,41.363,stable,2.6662,5.3324,armed,clear,0.00611,0.10557,0.2094,0.3066,0.40479,0.50026,0.6015,0.4503,0.5886,0.5616,0.5518,0.5139,15.905,-28.282,-40.728
11,R,1,tripod,7.27,0.0,42.877,stable,2.7102,5.4204,armed,clear,0.00951,0.10462,0.20215,0.30497,0.40269,0.50192,0.60541,0.4027,0.658,0.5884,0.5006,0.5605,15.871,-28.684,-41.097
12,L,1,tripod,8.597,0.0,40.649,stable,2.7743,5.5486,armed,clear,0.00334,0.10867,0.20084,0.3069,0.4087,0.50514,0.60938,0.5285,0.4888,0.5343,0.6062,0.6165,15.391,-29.687,-41.435
12,R,1,tripod,8.998,0.0,42.487,stable,2.8519,5.7038,armed,clear,0.00389,0.10941,0.20032,0.30777,0.40472,0.50952,0.60697,0.6176,0.5869,0.5697,0.4531,0.6246,15.895,-28.856,-41.425
13,L,1,tripod,9.72,0.0,40.776,stable,2.8862,5.7724,armed,clear,0.00373,0.10307,0.20878,0.30045,0.40853,0.50348,0.60241,0.5612,0.6628,0.6062,0.6201,0.4359,15.814,-28.588,-40.348
13,R,1,tripod,9.523,0.0,42.143,stable,3.2267,6.4534,armed,clear,0.00251,0.10506,0.20747,0.30665,0.40244,0.50493,0.60429,0.569,0.6749,0.6443,0.6783,0.6602,16.057,-29.013,-41.29
14,L,1,tripod,8.944,0.0,42.275,stable,2.5922,5.1844,armed,clear,0.00491,0.10929,0.20955,0.30639,0.40885,0.50908,0.60657,0.5152,0.6421,0.5493,0.4316,0.454,15.774,-28.913,-41.171
14,R,1,tripod,9.28,0.0,42.327,stable,2.4745,4.949,armed,clear,0.00365,0.10443,0.20179,0.30199,0.40759,0.50092,0.60774,0.577,0.5316,0.5135,0.4156,0.4368,15.947,-29.782,-40.626
15,L,1,tripod,6.8,0.0,41.672,stable,2.6271,5.2542,armed,clear,0.00478,0.10855,0.20292,0.30254,0.40105,0.50002,0.60876,0.4296,0.69,0.5695,0.4944,0.4436,16.389,-29.033,-41.057
15,R,1,tripod,8.568,0.0,42.681,stable,3.0069,6.0138,armed,clear,0.00264,0.10076,0.20179,0.30466,0.40054,0.50874,0.60273,0.6955,0.6606,0.6804,0.4544,0.516,16.178,-29.053,-41.905
16,L,1,tripod,7.739,0.0,42.586,stable,2.4235,4.847,armed,clear,0.00097,0.1026,0.20075,0.30567,0.40726,0.50514,0.60684,0.4595,0.4592,0.5255,0.5762,0.4031,15.682,-28.606,-41.837
16,R,1,tripod,9.903,0.0,39.443,stable,2.7844,5.5688,armed,clear,0.00582,0.1086,0.20207,0.30551,0.40363,0.50078,0.60518,0.5918,0.4637,0.6175,0.6922,0.4192,15.22,-28.63,-40.663
17,L,1,tripod,9.726,0.0,39.295,stable,2.6008,5.2016,armed,clear,0.00904,0.10875,0.20562,0.30421,0.40357,0.50561,0.60561,0.6475,0.4344,0.4339,0.5567,0.5283,16.17,-29.848,-40.531
17,R,1,tripod,6.582,0.0,39.909,stable,2.8206,5.6412,armed,clear,0.00464,0.10831,0.20395,0.30158,0.40734,0.50319,0.60293,0.4683,0.5471,0.6876,0.5366,0.581,16.726,-29.287,-41.877
18,L,1,tripod,9.755,0.0,39.266,stable,2.7739,5.5478,armed,clear,0.00068,0.10416,0.20342,0.30584,0.4024,0.50333,0.60928,0.6944,0.5478,0.5461,0.414,0.5716,15.131,-29.74,-40.73
18,R,1,tripod,6.825,0.0,40.721,stable,2.9712,5.9424,armed,clear,0.0042,0.10987,0.20175,0.30429,0.40118,0.50644,0.60419,0.6416,0.6902,0.4514,0.511,0.677,15.861,-28.34,-40.872
19,L,1,tripod,9.451,0.0,40.31,stable,2.7061,5.4122,armed,clear,0.00379,0.10594,0.20021,0.30903,0.40563,0.50829,0.60976,0.6076,0.5547,0.4002,0.6024,0.5412,16.99,-29.653,-40.231
19,R,1,tripod,9.674,0.0,40.499,stable,2.6162,5.2324,armed,clear,0.0038,0.10235,0.20735,0.30244,0.40289,0.50096,0.60891,0.4134,0.4515,0.6354,0.5653,0.5506,16.147,-29.151,-40.001
20,L,1,tripod,8.108,0.0,40.217,stable,2.9197,5.8394,armed,clear,0.00315,0.10342,0.2095,0.30386,0.40683,0.50095,0.60492,0.6024,0.5797,0.6434,0.4948,0.5994,15.157,-29.912,-41.404
20,R,1,tripod,9.956,0.0,41.124,stable,2.8671,5.7342,armed,clear,0.0035,0.10409,0.20844,0.30108,0.40278,0.50973,0.60999,0.5574,0.6905,0.4082,0.5321,0.6789,16.716,-28.885,-40.847
21,L,1,tripod,7.527,0.0,41.244,stable,3.0604,6.1208,armed,clear,0.00838,0.1059,0.20584,0.30272,0.40734,0.50709,0.60589,0.6243,0.5877,0.6846,0.6447,0.5191,16.956,-28.769,-41.029
21,R,1,tripod,8.373,0.0,40.738,stable,2.8057,5.6114,armed,clear,0.00602,0.10854,0.20403,0.3068,0.40336,0.50536,0.60669,0.4535,0.6197,0.6847,0.4961,0.5517,16.37,-28.886,-40.959
22,L,1,tripod,6.253,0.0,38.465,stable,2.6737,5.3474,armed,clear,0.00336,0.1071,0.20383,0.30243,0.40553,0.50368,0.60933,0.4716,0.5715,0.6393,0.5779,0.4134,16.914,-28.823,-41.632
22,R,1,tripod,7.304,0.0,41.782,stable,2.9202,5.8404,armed,clear,0.00998,0.10396,0.20496,0.30568,0.40188,0.50132,0.60013,0.6533,0.5348,0.4381,0.6025,0.6915,16.68,-28.676,-40.707
23,L,1,tripod,8.108,0.0,42.122,stable,2.4611,4.9222,armed,clear,0.00518,0.10118,0.20706,0.30294,0.40749,0.50798,0.60579,0.4836,0.4675,0.5662,0.4039,0.5399,15.081,-28.22,-41.462
23,R,1,tripod,6.933,0.0,38.392,stable,2.9348,5.8696,armed,clear,0.00751,0.10793,0.20482,0.30608,0.4003,0.50864,0.60474,0.6172,0.6765,0.4741,0.4847,0.6823,16.257,-29.534,-40.852
24,L,1,tripod,8.974,0.0,41.638,stable,2.7592,5.5184,armed,clear,0.00676,0.10112,0.206,0.30627,0.40791,0.50101,0.60587,0.4637,0.6917,0.5394,0.6614,0.403,16.037,-29.898,-41.394
24,R,1,tripod,6.988,0.0,40.442,stable,2.5421,5.0842,armed,clear,0.00881,0.1037,0.20228,0.30248,0.40297,0.5032,0.60458,0.4326,0.6064,0.4914,0.5781,0.4336,15.983,-29.898,-40.168
25,L,1,tripod,8.721,0.0,38.436,stable,2.7521,5.5042,armed,clear,0.00851,0.10451,0.20221,0.30602,0.40944,0.50325,0.60517,0.6579,0.4326,0.6377,0.4417,0.5822,16.315,-28.837,-40.372
25,R,1,tripod,9.257,0.0,38.117,stable,2.565,5.13,armed,clear,0.00656,0.10604,0.20628,0.3052,0.40693,0.50008,0.60147,0.4961,0.4929,0.547,0.5505,0.4785,15.492,-28.209,-41.244
26,L,1,tripod,9.231,0.0,42.832,stable,2.5899,5.1798,armed,clear,0.00806,0.10385,0.20949,0.30662,0.4001,0.50963,0.60727,0.4849,0.5364,0.663,0.5045,0.4011,15.485,-29.427,-41.577
26,R,1,tripod,9.669,0.0,41.461,stable,2.6566,5.3132,armed,clear,0.00201,0.10424,0.20401,0.30821,0.40059,0.50812,0.60146,0.5413,0.5651,0.5583,0.4569,0.535,16.047,-29.94,-40.514
27,L,1,tripod,7.54,0.0,41.624,stable,2.7412,5.4824,armed,clear,0.00429,0.10149,0.20987,0.30401,0.40977,0.50299,0.60593,0.4431,0.5885,0.6397,0.6588,0.4111,16.137,-28.81,-41.236
27,R,1,tripod,6.412,0.0,41.426,stable,2.8174,5.6348,armed,clear,0.00737,0.10199,0.20924,0.30716,0.40334,0.50382,0.60227,0.6533,0.4848,0.5661,0.4925,0.6207,16.801,-28.912,-41.65
28,L,1,tripod,8.472,0.0,40.303,stable,2.9412,5.8824,armed,clear,0.00853,0.10681,0.20884,0.30377,0.40073,0.50217,0.60651,0.6709,0.6432,0.4213,0.5144,0.6914,16.08,-29.478,-40.686
28,R,1,tripod,9.296,0.0,42.074,stable,3.155,6.31,armed,clear,0.00318,0.10399,0.20364,0.30854,0.40234,0.50106,0.60567,0.6729,0.6563,0.5865,0.6518,0.5875,15.767,-29.557,-41.74
29,L,1,tripod,8.637,0.0,42.553,stable,2.3146,4.6292,armed,clear,0.00198,0.1007,0.206,0.3093,0.40392,0.50895,0.60833,0.4566,0.4558,0.4225,0.5693,0.4104,15.737,-29.33,-40.769
29,R,1,tripod,7.645,0.0,42.051,stable,2.8357,5.6714,armed,clear,0.00851,0.10439,0.20512,0.30483,0.40289,0.50678,0.60127,0.6631,0.4056,0.5662,0.6115,0.5893,16.681,-29.94,-41.65
30,L,1,tripod,6.594,0.0,42.707,stable,2.478,4.956,armed,clear,0.00502,0.10092,0.2094,0.30313,0.40362,0.5011,0.60283,0.5065,0.5201,0.4765,0.4853,0.4896,15.87,-29.149,-41.123
30,R,1,tripod,8.463,0.0,41.702,stable,2.8718,5.7436,armed,clear,0.00129,0.10526,0.20784,0.30433,0.40579,0.50363,0.60205,0.6218,0.5058,0.6751,0.6017,0.4674,15.846,-28.44,-40.728
31,L,1,tripod,7.436,0.0,41.796,stable,2.6482,5.2964,armed,clear,0.00657,0.10971,0.20534,0.30663,0.40687,0.50083,0.6015,0.5071,0.4727,0.5668,0.4555,0.6461,15.607,-29.47,-40.248
31,R,1,tripod,7.775,0.0,42.657,stable,3.0366,6.0732,armed,clear,0.00179,0.10788,0.20756,0.30748,0.40488,0.50902,0.60687,0.6141,0.6266,0.4895,0.6811,0.6253,16.273,-29.539,-40.037
32,L,1,tripod,6.714,0.0,39.274,stable,2.7257,5.4514,armed,clear,0.00765,0.10986,0.20613,0.30276,0.40776,0.50082,0.60348,0.4865,0.4475,0.6,0.5836,0.6081,16.398,-28.149,-40.602
32,R,1,tripod,7.218,0.0,39.888,stable,3.1843,6.3686,armed,clear,0.00551,0.10473,0.2037,0.30943,0.40303,0.50233,0.6034,0.4548,0.6598,0.6921,0.6932,0.6844,16.887,-29.348,-41.213
33,L,1,tripod,8.464,0.0,38.48,stable,2.6279,5.2558,armed,clear,0.00595,0.10941,0.20271,0.30463,0.403,0.5033,0.60837,0.422,0.5777,0.4673,0.5879,0.573,16.885,-28.315,-41.818
33,R,1,tripod,8.369,0.0,42.992,stable,2.5806,5.1612,armed,clear,0.0074,0.10951,0.20983,0.30175,0.40959,0.50778,0.60745,0.481,0.5558,0.4165,0.4975,0.6298,16.385,-28.305,-41.336
34,L,1,tripod,9.848,0.0,38.54,stable,2.6955,5.391,armed,clear,0.00874,0.1085,0.20377,0.30827,0.40675,0.50156,0.60715,0.6286,0.5484,0.5287,0.4414,0.5484,16.87,-29.632,-41.98
34,R,1,tripod,6.139,0.0,39.814,stable,2.5447,5.0894,armed,clear,0.00205,0.10255,0.20895,0.30496,0.40737,0.50789,0.60482,0.6878,0.4925,0.4732,0.4417,0.4495,16.837,-29.137,-41.147
35,L,1,tripod,7.002,0.0,38.444,stable,3.1959,6.3918,armed,clear,0.00756,0.10646,0.20111,0.30533,0.40521,0.50853,0.60773,0.6671,0.5511,0.6485,0.6554,0.6738,15.298,-29.964,-40.609
35,R,1,tripod,8.339,0.0,38.439,stable,2.9531,5.9062,armed,clear,0.00325,0.106,0.20087,0.30082,0.40914,0.50208,0.60145,0.6554,0.4196,0.5932,0.5947,0.6902,16.392,-28.661,-41.247
36,L,1,tripod,8.174,0.0,39.265,stable,2.8501,5.7002,armed,clear,2e-05,0.10507,0.20848,0.30005,0.40847,0.50742,0.60597,0.583,0.4997,0.5272,0.5902,0.65,16.975,-28.137,-40.237
36,R,1,tripod,7.048,0.0,39.027,stable,2.8871,5.7742,armed,clear,0.00652,0.10193,0.20813,0.30779,0.40354,0.50715,0.60759,0.6042,0.4082,0.6007,0.5854,0.6886,16.01,-28.792,-40.786
37,L,1,tripod,7.103,0.0,40.935,stable,2.9873,5.9746,armed,clear,0.00883,0.10825,0.20035,0.30216,0.40858,0.5008,0.60705,0.5088,0.5291,0.6877,0.6658,0.5959,15.458,-28.212,-41.396
37,R,1,tripod,7.121,0.0,39.683,stable,2.555,5.11,armed,clear,0.00714,0.10992,0.20463,0.30906,0.40959,0.5043,0.60118,0.5997,0.5538,0.5536,0.4294,0.4185,16.319,-28.676,-41.319
38,L,1,tripod,9.224,0.0,39.603,stable,2.4515,4.903,armed,clear,0.00247,0.10139,0.20531,0.30604,0.40171,0.50979,0.60476,0.4619,0.4597,0.4921,0.6282,0.4096,16.662,-28.294,-41.319
38,R,1,tripod,7.512,0.0,42.498,stable,2.8478,5.6956,armed,clear,0.00726,0.10589,0.2073,0.30933,0.40001,0.50431,0.6024,0.5082,0.5135,0.5649,0.672,0.5892,16.829,-28.95,-41.472
39,L,1,tripod,7.688,0.0,42.868,stable,2.5404,5.0808,armed,clear,0.00658,0.10397,0.20942,0.30698,0.40302,0.50885,0.6063,0.4764,0.6528,0.4957,0.4971,0.4184,15.011,-28.711,-41.482
39,R,1,tripod,7.58,0.0,41.863,stable,2.8137,5.6274,armed,clear,0.00281,0.10936,0.20866,0.30887,0.40176,0.50818,0.60178,0.4656,0.5216,0.6581,0.4872,0.6812,16.145,-29.832,-41.58
40,L,1,tripod,8.52,0.0,38.803,stable,2.6621,5.3242,armed,clear,0.00834,0.10063,0.20844,0.30186,0.40495,0.50187,0.60532,0.6117,0.6034,0.5151,0.4384,0.4935,15.722,-28.952,-40.195
40,R,1,tripod,8.111,0.0,38.927,stable,2.6714,5.3428,armed,clear,0.00521,0.10778,0.20023,0.30189,0.40046,0.50363,0.60443,0.5516,0.575,0.4466,0.5814,0.5168,15.109,-28.345,-41.805
41,L,1,tripod,6.891,0.0,38.211,stable,3.1254,6.2508,armed,clear,0.00736,0.10294,0.20503,0.30733,0.40297,0.50307,0.6096,0.6858,0.5315,0.6519,0.5811,0.6751,16.818,-28.027,-40.688
41,R,1,tripod,8.917,0.0,41.836,stable,3.2846,6.5692,armed,clear,0.00044,0.10344,0.20904,0.30212,0.40798,0.5011,0.60446,0.6727,0.6704,0.5675,0.6861,0.6879,16.362,-28.816,-40.107
42,L,1,tripod,7.376,0.0,40.536,stable,2.8468,5.6936,armed,clear,0.00237,0.10396,0.20687,0.30353,0.40538,0.50923,0.6019,0.5184,0.6864,0.4839,0.5647,0.5934,15.251,-29.302,-40.944
42,R,1,tripod,7.542,0.0,41.421,stable,2.6708,5.3416,armed,clear,0.00781,0.10933,0.20641,0.30659,0.4076,0.50523,0.60593,0.6088,0.4531,0.5037,0.5479,0.5573,16.327,-28.212,-41.434
43,L,1,tripod,6.439,0.0,38.277,stable,2.7565,5.513,armed,clear,0.00426,0.1072,0.20508,0.30088,0.4031,0.5068,0.60195,0.6533,0.6415,0.5059,0.4746,0.4812,16.883,-28.587,-41.073
43,R,1,tripod,9.441,0.0,39.782,stable,2.8984,5.7968,armed,clear,0.00077,0.10251,0.20596,0.30945,0.40988,0.50232,0.60264,0.4336,0.6066,0.5863,0.5922,0.6797,16.025,-28.573,-40.041
44,L,1,tripod,8.927,0.0,41.083,stable,3.0546,6.1092,armed,clear,0.00951,0.10747,0.20958,0.30202,0.40288,0.50796,0.60159,0.6509,0.6054,0.4072,0.6934,0.6977,16.728,-28.834,-41.164
44,R,1,tripod,9.93,0.0,39.504,stable,2.7035,5.407,armed,clear,0.00337,0.10104,0.2045,0.30125,0.40247,0.50646,0.60545,0.5707,0.5803,0.5118,0.4148,0.6259,15.8,-29.086,-40.381
45,L,1,tripod,7.655,0.0,38.492,stable,2.9819,5.9638,armed,clear,0.00379,0.10237,0.20289,0.30481,0.40498,0.50091,0.60621,0.5701,0.5537,0.6415,0.6124,0.6042,15.061,-28.344,-40.306
45,R,1,tripod,9.055,0.0,42.395,stable,2.7816,5.5632,armed,clear,0.00628,0.10957,0.20103,0.30726,0.40354,0.5055,0.60152,0.4695,0.5227,0.5338,0.6878,0.5678,15.443,-29.655,-40.149
46,L,1,tripod,7.782,0.0,38.039,stable,2.4735,4.947,armed,clear,0.00875,0.10076,0.20409,0.30328,0.40831,0.50067,0.60024,0.4141,0.4182,0.5727,0.4143,0.6542,16.032,-29.181,-41.466
46,R,1,tripod,6.287,0.0,42.252,stable,2.793,5.586,armed,clear,0.00393,0.1052,0.20414,0.30479,0.4063,0.50551,0.60622,0.4465,0.4607,0.681,0.537,0.6678,16.344,-29.9,-41.324
47,L,1,tripod,6.523,0.0,42.362,stable,2.6409,5.2818,armed,clear,0.00414,0.10485,0.20677,0.30632,0.40326,0.50599,0.60971,0.6221,0.5288,0.593,0.4079,0.4891,15.371,-28.793,-40.959
47,R,1,tripod,8.286,0.0,42.632,stable,2.4302,4.8604,armed,clear,0.0038,0.10489,0.20902,0.30411,0.40132,0.50212,0.60947,0.4056,0.402,0.6586,0.466,0.498,15.557,-29.355,-41.616
48,L,1,tripod,8.454,0.0,42.931,stable,2.6757,5.3514,armed,clear,0.00705,0.10786,0.20871,0.30501,0.40126,0.50685,0.60556,0.5049,0.4857,0.6029,0.4822,0.6,15.392,-29.17,-40.557
48,R,1,tripod,8.44,0.0,39.156,stable,2.4904,4.9808,armed,clear,0.00665,0.10211,0.20473,0.30634,0.40779,0.5073,0.60351,0.549,0.4596,0.4564,0.5857,0.4397,16.527,-29.352,-41.563
49,L,1,tripod,9.688,0.0,38.694,stable,2.5269,5.0538,armed,clear,0.00514,0.10232,0.20481,0.30958,0.40151,0.50734,0.60178,0.409,0.4734,0.6855,0.5084,0.4506,16.291,-28.451,-40.152
49,R,1,tripod,6.104,0.0,38.878,stable,2.9047,5.8094,armed,clear,0.00805,0.10807,0.20217,0.30472,0.40297,0.50574,0.60777,0.4915,0.5397,0.6131,0.6032,0.6572,15.576,-28.356,-41.323
50,L,1,tripod,9.393,0.0,38.974,stable,3.0856,6.1712,armed,clear,0.00832,0.1083,0.20868,0.30012,0.40432,0.50955,0.60871,0.657,0.5599,0.6832,0.5166,0.6689,16.989,-28.888,-40.232
50,R,1,tripod,7.491,0.0,40.942,stable,2.8772,5.7544,armed,clear,0.00822,0.10681,0.20424,0.30014,0.40436,0.50865,0.60796,0.6525,0.5218,0.609,0.6462,0.4477,16.445,-29.413,-41.922
51,L,1,tripod,7.137,0.0,41.562,stable,2.5585,5.117,armed,clear,0.00829,0.10196,0.20655,0.30426,0.40922,0.50056,0.60071,0.4573,0.5189,0.6915,0.4506,0.4402,16.77,-29.79,-40.372
51,R,1,tripod,8.784,0.0,40.031,stable,2.3783,4.7566,armed,clear,0.0053,0.10977,0.20835,0.30615,0.40639,0.5034,0.60929,0.4411,0.5412,0.56,0.4259,0.4101,16.585,-29.642,-41.237
52,L,1,tripod,8.999,0.0,41.06,stable,2.6717,5.3434,armed,clear,0.0071,0.10032,0.20939,0.30648,0.40833,0.50215,0.60156,0.5439,0.5111,0.5377,0.6666,0.4124,15.667,-28.281,-41.604
52,R,1,tripod,7.677,0.0,38.362,stable,2.912,5.824,armed,clear,0.00018,0.1039,0.20156,0.30474,0.40794,0.50543,0.60658,0.6734,0.5531,0.6593,0.4215,0.6047,16.281,-28.946,-40.715
53,L,1,tripod,7.758,0.0,41.273,stable,3.0163,6.0326,armed,clear,0.00288,0.10099,0.2034,0.30316,0.40181,0.50877,0.60432,0.6356,0.5736,0.6034,0.6845,0.5192,15.168,-29.338,-41.195
53,R,1,tripod,7.718,0.0,38.335,stable,2.8975,5.795,armed,clear,0.00742,0.10462,0.20754,0.30319,0.40848,0.50819,0.60276,0.4964,0.5111,0.5386,0.6825,0.6689,16.679,-29.332,-40.714
54,L,1,tripod,7.448,0.0,40.724,stable,2.9242,5.8484,armed,clear,0.00521,0.1077,0.2086,0.30156,0.40667,0.50238,0.60524,0.4838,0.621,0.5795,0.5985,0.6414,16.268,-28.996,-40.645
54,R,1,tripod,6.877,0.0,39.569,stable,2.5111,5.0222,armed,clear,0.00584,0.10193,0.20036,0.30068,0.40419,0.50822,0.60513,0.4142,0.4061,0.5502,0.5112,0.6294,16.483,-28.407,-40.771
55,L,1,tripod,9.935,0.0,40.359,stable,2.6097,5.2194,armed,clear,0.00189,0.10807,0.20656,0.30958,0.40546,0.50781,0.60271,0.4899,0.448,0.6068,0.4739,0.5911,15.203,-29.665,-41.96
55,R,1,tripod,8.928,0.0,40.29,stable,2.903,5.806,armed,clear,0.00743,0.1018,0.20498,0.30671,0.40761,0.50161,0.60604,0.4349,0.5903,0.6838,0.5752,0.6188,15.688,-28.895,-40.081
56,L,1,tripod,7.394,0.0,38.991,stable,2.7809,5.5618,armed,clear,0.00232,0.10695,0.20056,0.30816,0.4048,0.50145,0.60778,0.6039,0.5323,0.4831,0.5715,0.5901,15.707,-28.264,-41.586
56,R,1,tripod,6.74,0.0,39.402,stable,2.6647,5.3294,armed,clear,0.00297,0.10038,0.20805,0.3072,0.40349,0.50876,0.60712,0.636,0.4862,0.4478,0.6608,0.4339,16.031,-29.779,-41.339
57,L,1,tripod,9.886,0.0,40.879,stable,2.7116,5.4232,armed,clear,0.00395,0.10029,0.20482,0.30783,0.40486,0.5067,0.60171,0.5732,0.586,0.6481,0.5003,0.404,16.708,-29.727,-40.063
57,R,1,tripod,9.891,0.0,40.385,stable,2.6407,5.2814,armed,clear,0.00707,0.10596,0.2035,0.30267,0.40641,0.50814,0.60278,0.4068,0.5285,0.6211,0.5772,0.5071,15.212,-29.164,-40.513
58,L,1,tripod,6.372,0.0,39.049,stable,3.0483,6.0966,armed,clear,0.00104,0.10073,0.20664,0.30452,0.40128,0.50631,0.606,0.5544,0.6903,0.5575,0.6164,0.6297,15.463,-29.575,-41.478
58,R,1,tripod,8.38,0.0,40.064,stable,3.0518,6.1036,armed,clear,0.00053,0.1095,0.20517,0.30032,0.4094,0.50478,0.60572,0.585,0.6079,0.614,0.6726,0.5723,16.203,-29.017,-40.774
59,L,1,tripod,6.619,0.0,40.373,stable,2.4965,4.993,armed,clear,0.00478,0.1066,0.20793,0.30405,0.40803,0.50048,0.60976,0.6436,0.4246,0.4059,0.4563,0.5661,15.799,-29.198,-41.916
